City,Month,Day,Year,AvgTemperature
Brisbane,6,18,1996,58.9
Brisbane,6,19,1996,58.6
Brisbane,6,20,1996,59.3
Brisbane,6,21,1996,61.1
Brisbane,6,22,1996,61.9
Brisbane,6,23,1996,66.5
Brisbane,6,24,1996,58.5
Brisbane,6,25,1996,60.3
Brisbane,6,26,1996,61.3
Brisbane,6,27,1996,59.1
Brisbane,6,28,1996,51.6
Brisbane,6,29,1996,58.6
Brisbane,6,30,1996,56.7
Brisbane,7,1,1996,52.9
Brisbane,7,2,1996,55.9
Brisbane,7,3,1996,61.7
Brisbane,7,4,1996,62.4
Brisbane,7,5,1996,59.4
Brisbane,7,6,1996,63
Brisbane,7,7,1996,59.1
Brisbane,7,8,1996,58.5
Brisbane,7,9,1996,59.3
Brisbane,7,10,1996,58.9
Brisbane,7,11,1996,56.8
Brisbane,7,12,1996,57.3
Brisbane,7,13,1996,54.4
Brisbane,7,14,1996,52.4
Brisbane,7,15,1996,52.1
Brisbane,7,16,1996,51.6
Brisbane,7,17,1996,48.3
Brisbane,7,18,1996,49.9
Brisbane,7,19,1996,61.5
Brisbane,7,20,1996,62.5
Brisbane,7,21,1996,54.6
Brisbane,7,22,1996,51.4
Brisbane,7,23,1996,50.3
Brisbane,7,24,1996,55.8
Brisbane,7,25,1996,58.7
Brisbane,7,26,1996,66
Brisbane,7,27,1996,64.8
Brisbane,7,28,1996,61
Brisbane,7,29,1996,56.8
Brisbane,7,30,1996,55.7
Brisbane,7,31,1996,55.8
Brisbane,8,1,1996,56.1
Brisbane,8,2,1996,58.6
Brisbane,8,3,1996,59.8
Brisbane,8,4,1996,60.5
Brisbane,8,5,1996,61.7
Brisbane,8,6,1996,56.7
Brisbane,8,7,1996,59.3
Brisbane,8,8,1996,54.5
Brisbane,8,9,1996,48.3
Brisbane,8,10,1996,53.8
Brisbane,8,11,1996,54.8
Brisbane,8,12,1996,54.6
Brisbane,8,13,1996,55.7
Brisbane,8,14,1996,58.5
Brisbane,8,15,1996,59.8
Brisbane,8,16,1996,66.4
Brisbane,8,17,1996,61.1
Brisbane,8,18,1996,59.7
Brisbane,8,19,1996,51.5
Brisbane,8,20,1996,52.4
Brisbane,8,21,1996,54.3
Brisbane,8,22,1996,60.1
Brisbane,8,23,1996,61.6
Brisbane,8,24,1996,60.3
Brisbane,8,25,1996,59.2
Brisbane,8,26,1996,57.4
Brisbane,8,27,1996,60.8
Brisbane,8,28,1996,62.2
Brisbane,8,29,1996,67.9
Brisbane,8,30,1996,62.7
Brisbane,8,31,1996,59.1
Brisbane,9,1,1996,60.6
Brisbane,9,2,1996,58.8
Brisbane,9,3,1996,55.7
Brisbane,9,4,1996,57.4
Brisbane,9,5,1996,58.9
Brisbane,9,6,1996,61.1
Brisbane,9,7,1996,61.4
Brisbane,9,8,1996,65.5
Brisbane,9,9,1996,65.4
Brisbane,9,10,1996,69.5
Brisbane,9,11,1996,65.3
Brisbane,9,12,1996,71.7
Brisbane,9,13,1996,56.2
Brisbane,9,14,1996,59.1
Brisbane,9,15,1996,58.5
Brisbane,9,16,1996,63
Brisbane,9,17,1996,65.6
Brisbane,9,18,1996,66.4
Brisbane,9,19,1996,68.8
Brisbane,9,20,1996,58.9
Brisbane,9,21,1996,59.7
Brisbane,9,22,1996,60.8
Brisbane,9,23,1996,61.5
Brisbane,9,24,1996,64.4
Brisbane,9,25,1996,67.6
Brisbane,9,26,1996,66.9
Brisbane,9,27,1996,68.3
Brisbane,9,28,1996,70.1
Brisbane,9,29,1996,70.7
Brisbane,9,30,1996,68.3
Brisbane,10,1,1996,61.9
Brisbane,10,2,1996,64.4
Brisbane,10,3,1996,66.8
Brisbane,10,4,1996,68.3
Brisbane,10,5,1996,71.7
Brisbane,10,6,1996,71.1
Brisbane,10,7,1996,68.2
Brisbane,10,8,1996,65.3
Brisbane,10,9,1996,64.8
Brisbane,10,10,1996,65.9
Brisbane,10,11,1996,69.8
Brisbane,10,12,1996,70.8
Brisbane,10,13,1996,68.1
Brisbane,10,14,1996,68.4
Brisbane,10,15,1996,67.2
Brisbane,10,16,1996,66.4
Brisbane,10,17,1996,66.3
Brisbane,10,18,1996,71.3
Brisbane,10,19,1996,70
Brisbane,10,20,1996,70.1
Brisbane,10,21,1996,65
Brisbane,10,22,1996,65.3
Brisbane,10,23,1996,65.1
Brisbane,10,24,1996,66.5
Brisbane,10,25,1996,64.9
Brisbane,10,26,1996,66.1
Brisbane,10,27,1996,67.4
Brisbane,10,28,1996,69.1
Brisbane,10,29,1996,71.5
Brisbane,10,30,1996,70.5
Brisbane,10,31,1996,68.5
Brisbane,11,1,1996,67.6
Brisbane,11,2,1996,67.1
Brisbane,11,3,1996,68.7
Brisbane,11,4,1996,69.3
Brisbane,11,5,1996,66.8
Brisbane,11,6,1996,62.6
Brisbane,11,7,1996,69.1
Brisbane,11,8,1996,65.9
Brisbane,11,9,1996,68.2
Brisbane,11,10,1996,74.8
Brisbane,11,11,1996,66.6
Brisbane,11,12,1996,70.9
Brisbane,11,13,1996,75.3
Brisbane,11,14,1996,77.5
Brisbane,11,15,1996,78.5
Brisbane,11,16,1996,79.9
Brisbane,11,17,1996,77.5
Brisbane,11,18,1996,77.5
Brisbane,11,19,1996,71.1
Brisbane,11,20,1996,72.2
Brisbane,11,21,1996,68.4
Brisbane,11,22,1996,70.8
Brisbane,11,23,1996,68.2
Brisbane,11,24,1996,66.4
Brisbane,11,25,1996,69.8
Brisbane,11,26,1996,73.8
Brisbane,11,27,1996,76.4
Brisbane,11,28,1996,78.3
Brisbane,11,29,1996,79
Brisbane,11,30,1996,76.6
Brisbane,12,1,1996,80.6
Brisbane,12,2,1996,80.2
Brisbane,12,3,1996,78.9
Brisbane,12,4,1996,72.3
Brisbane,12,5,1996,75.8
Brisbane,12,6,1996,75.3
Brisbane,12,7,1996,73.9
Brisbane,12,8,1996,71.2
Brisbane,12,9,1996,75.9
Brisbane,12,10,1996,73.1
Brisbane,12,11,1996,74.3
Brisbane,12,12,1996,71.3
Brisbane,12,13,1996,71.2
Brisbane,12,14,1996,70.7
Brisbane,12,15,1996,70.2
Brisbane,12,16,1996,68.9
Brisbane,12,17,1996,74.7
Brisbane,12,18,1996,73.4
Brisbane,12,19,1996,74
Brisbane,12,20,1996,74.4
Brisbane,12,21,1996,70.3
Brisbane,12,22,1996,73.1
Brisbane,12,23,1996,75.6
Brisbane,12,24,1996,74.2
Brisbane,12,25,1996,74.5
Brisbane,12,26,1996,75.1
Brisbane,12,27,1996,75.1
Brisbane,12,28,1996,74.6
Brisbane,12,29,1996,73.5
Brisbane,12,30,1996,75.1
Brisbane,12,31,1996,75.4
Brisbane,1,1,1997,74.6
Brisbane,1,2,1997,72.1
Brisbane,1,3,1997,73.1
Brisbane,1,4,1997,72
Brisbane,1,5,1997,73.5
Brisbane,1,6,1997,73
Brisbane,1,7,1997,75.7
Brisbane,1,8,1997,74.3
Brisbane,1,9,1997,73.7
Brisbane,1,10,1997,75.7
Brisbane,1,11,1997,73
Brisbane,1,12,1997,72.8
Brisbane,1,13,1997,72.1
Brisbane,1,14,1997,72.1
Brisbane,1,15,1997,70.5
Brisbane,1,16,1997,72
Brisbane,1,17,1997,75.3
Brisbane,1,18,1997,72.1
Brisbane,1,19,1997,71.4
Brisbane,1,20,1997,74.6
Brisbane,1,21,1997,73.7
Brisbane,1,22,1997,72.7
Brisbane,1,23,1997,74.9
Brisbane,1,24,1997,77.1
Brisbane,1,25,1997,75.8
Brisbane,1,26,1997,71.7
Brisbane,1,27,1997,75.1
Brisbane,1,28,1997,74.5
Brisbane,1,29,1997,76.6
Brisbane,1,30,1997,78.4
Brisbane,1,31,1997,78.9
Brisbane,2,1,1997,78.5
Brisbane,2,2,1997,74.1
Brisbane,2,3,1997,72.7
Brisbane,2,4,1997,74.1
Brisbane,2,5,1997,74.4
Brisbane,2,6,1997,74.7
Brisbane,2,7,1997,74.8
Brisbane,2,8,1997,75.4
Brisbane,2,9,1997,75.7
Brisbane,2,10,1997,79.4
Brisbane,2,11,1997,79.3
Brisbane,2,12,1997,80.2
Brisbane,2,13,1997,80.6
Brisbane,2,14,1997,80.7
Brisbane,2,15,1997,79.1
Brisbane,2,16,1997,78.8
Brisbane,2,17,1997,77.2
Brisbane,2,18,1997,75.9
Brisbane,2,19,1997,73.9
Brisbane,2,20,1997,72.8
Brisbane,2,21,1997,72.1
Brisbane,2,22,1997,76.8
Brisbane,2,23,1997,80.1
Brisbane,2,24,1997,80
Brisbane,2,25,1997,79.5
Brisbane,2,26,1997,78.9
